No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"earbuds","9,900","₨13.85","18","32"
2,"earbuds price in pakistan","6,600","₨24.94","18","34"
3,"earbuds wireless","1,300","₨23.55","26","44"
4,"earbuds bluetooth","880","₨19.40","20","33"
5,"earbuds m10 price in pakistan","720","₨13.85","5","31"
6,"earbuds daraz","590","₨19.40","9","51"
7,"earbuds in pakistan","480","₨27.71","31","34"
8,"earbuds audionic","390","₨11.08","23","31"
9,"earbuds pakistan","390","₨58.19","37","34"
10,"earbuds samsung","390","₨30.48","10","54"
11,"earbuds price in pakistan daraz","390","₨19.40","4","11"
12,"earbuds meaning in urdu","320","₨0.00","1","43"
13,"earbuds price","320","₨22.17","8","36"
14,"earbuds jlab","260","₨12.47","28","55"
15,"earbuds m10","260","₨22.17","6","20"
16,"earbuds jabra","210","₨12.47","12","60"
17,"earbuds pro","140","₨70.66","3","19"
18,"earbuds pro price in pakistan","140","₨72.04","3","6"
19,"earbuds google","110","₨29.09","15","23"
20,"earbuds with power bank","110","₨16.63","4","7"
21,"earbuds battery","90","₨0.00","3","19"
22,"earbuds f9 price in pakistan","90","₨12.47","7","8"
23,"earbuds picture","90","₨0.00","1","18"
24,"earbuds tips","90","₨23.55","6","20"
25,"earbuds apple","70","₨19.40","5","20"
26,"earbuds cover","70","₨18.01","6","20"
27,"earbuds iphone","70","₨16.63","9","57"
28,"earbuds i12 price in pakistan","70","₨0.00","2","6"
29,"earbuds mic","70","₨0.00","5","20"
30,"earbuds online pakistan","70","₨20.78","49","28"
